pending_more_than_125,date
258794,2022-01-29
259296,2022-02-05
256574,2022-02-12
252586,2022-02-19
251964,2022-02-26
250083,2022-03-05
247707,2022-03-12
243482,2022-03-19
240520,2022-03-26
234435,2022-04-02
233300,2022-04-09
231622,2022-04-16
228637,2022-04-23
222027,2022-04-30
215196,2022-05-07
209357,2022-05-14
203044,2022-05-21
196852,2022-05-28
193795,2022-06-04
188579,2022-06-11
184132,2022-06-18
182359,2022-06-25
177074,2022-07-02
176884,2022-07-09
172877,2022-07-16
168414,2022-07-23
164743,2022-07-30
162680,2022-08-06
159701,2022-08-13
157027,2022-08-20
154014,2022-08-27
152560,2022-09-03
152572,2022-09-10
150003,2022-09-17
148507,2022-09-24
147693,2022-10-01
144300,2022-10-08
144660,2022-10-15
143107,2022-10-22
141345,2022-10-29
143732,2022-11-05
144148,2022-11-12
146049,2022-11-19
151042,2022-11-26
153590,2022-12-03
158267,2022-12-10
165313,2022-12-17
176645,2022-12-24
189484,2022-12-31
200456,2023-01-07
199183,2023-01-14
200307,2023-01-21
197184,2023-01-28
197353,2023-02-04
194720,2023-02-11
194467,2023-02-18
198296,2023-02-25
199898,2023-03-04
201796,2023-03-11
204766,2023-03-18
210026,2023-03-25
206792,2023-04-01
210207,2023-04-08
211276,2023-04-15
213005,2023-04-22
212213,2023-04-29
210599,2023-05-06
210903,2023-05-13
214120,2023-05-20
215697,2023-05-27
222905,2023-06-03
227178,2023-06-10
231503,2023-06-17
238856,2023-06-24
243665,2023-07-01
252275,2023-07-08
258016,2023-07-15
262440,2023-07-22
265951,2023-07-29
272525,2023-08-05
272883,2023-08-12
274158,2023-08-19
276787,2023-08-26
282220,2023-09-02
289144,2023-09-09
292499,2023-09-16
297079,2023-09-23
303307,2023-09-30
306747,2023-10-07
308418,2023-10-14
302175,2023-10-21
297534,2023-10-28
301408,2023-11-04
299175,2023-11-11
301324,2023-11-18
313028,2023-11-25
318221,2023-12-02
335012,2023-12-09
378048,2023-12-16
391445,2023-12-23
405981,2023-12-30
417855,2024-01-06
406568,2024-01-13
406864,2024-01-20
399925,2024-01-27
397323,2024-02-03
387675,2024-02-10
377622,2024-02-17
377324,2024-02-24
368574,2024-03-02
364158,2024-03-09
355004,2024-03-16
348203,2024-03-23
333204,2024-03-30
330645,2024-04-06
323081,2024-04-13
316319,2024-04-20
307030,2024-04-27
295592,2024-05-04
289747,2024-05-11
285359,2024-05-18
278325,2024-05-25
